Origin/Destination,start station name,Route,start station latitude,start station longitude
Origin,Harborside,Harborside_to_York St,40.7192517,-74.034234
Destination,York St,Harborside_to_York St,40.71649,-74.04105
Origin,Liberty Light Rail,Liberty Light Rail_to_Liberty Light Rail,40.7112423,-74.0557013
Destination,Liberty Light Rail,Liberty Light Rail_to_Liberty Light Rail,40.7112423,-74.0557013
Origin,Liberty Light Rail,Liberty Light Rail_to_5 Corners Library,40.7112423,-74.0557013
Destination,5 Corners Library,Liberty Light Rail_to_5 Corners Library,40.73496102,-74.05950308
Origin,Liberty Light Rail,Liberty Light Rail_to_Astor Place,40.7112423,-74.0557013
Destination,Astor Place,Liberty Light Rail_to_Astor Place,40.7192822,-74.07126188
Origin,Liberty Light Rail,Liberty Light Rail_to_Baldwin at Montgomery,40.7112423,-74.0557013
Destination,Baldwin at Montgomery,Liberty Light Rail_to_Baldwin at Montgomery,40.7236589,-74.0641943
Origin,Liberty Light Rail,Liberty Light Rail_to_Bergen Ave,40.7112423,-74.0557013
Destination,Bergen Ave,Liberty Light Rail_to_Bergen Ave,40.72210379,-74.071455
Origin,Liberty Light Rail,Liberty Light Rail_to_Brunswick & 6th,40.7112423,-74.0557013
Destination,Brunswick & 6th,Liberty Light Rail_to_Brunswick & 6th,40.72601173,-74.05038893
Origin,Liberty Light Rail,Liberty Light Rail_to_Brunswick St,40.7112423,-74.0557013
Destination,Brunswick St,Liberty Light Rail_to_Brunswick St,40.7241765,-74.0506564
Origin,Liberty Light Rail,Liberty Light Rail_to_City Hall,40.7112423,-74.0557013
Destination,City Hall,Liberty Light Rail_to_City Hall,40.7177325,-74.043845
Origin,Liberty Light Rail,Liberty Light Rail_to_Columbus Drive,40.7112423,-74.0557013
Destination,Columbus Drive,Liberty Light Rail_to_Columbus Drive,40.7183552,-74.03891444
Origin,Liberty Light Rail,Liberty Light Rail_to_Communipaw & Berry Lane,40.7112423,-74.0557013
